date,round,home,home_abb,away,away_abb,status,home_ht,home_ft,away_ht,away_ft
2024-10-25T17:00:00+00:00,1,Bollnas GIF,BOL,Frillesaas BK,FRI,closed,3,9,1,5
2024-10-25T17:00:00+00:00,1,Edsbyns IF,EDS,Sandvikens AIK,SAN,closed,3,10,0,3
2024-10-25T17:00:00+00:00,1,Gripen Trollhättan BK,GRT,IK Sirius BK,SIR,closed,2,3,3,4
2024-10-25T17:00:00+00:00,1,Hammarby IF/BK,HAM,Villa-Lidkoping BK,VIL,closed,1,3,1,6
2024-10-25T17:00:00+00:00,1,Vetlanda BK,VBK,Broberg/Soderhamn BS,BRO,closed,4,8,2,5
2024-10-25T17:00:00+00:00,1,Aby/Tjureda IF,A/T,Ljusdals BK,LJU,closed,5,6,0,1
2024-10-26T14:00:00+00:00,1,IFK Vanersborg,VAN,Vasteraas SK,VSK,closed,3,6,3,6
2024-10-29T18:00:00+00:00,2,Bollnas GIF,BOL,Gripen Trollhättan BK,GRT,closed,1,2,0,2
2024-10-29T18:00:00+00:00,2,Broberg/Soderhamn BS,BRO,IK Sirius BK,SIR,closed,2,5,3,4
2024-10-29T18:00:00+00:00,2,Edsbyns IF,EDS,Frillesaas BK,FRI,closed,1,4,2,3
2024-10-29T18:00:00+00:00,2,Vetlanda BK,VBK,Villa-Lidkoping BK,VIL,closed,1,3,5,11
2024-10-29T18:00:00+00:00,2,Vasteraas SK,VSK,Ljusdals BK,LJU,closed,5,14,0,1
2024-10-30T18:00:00+00:00,2,IFK Vanersborg,VAN,Hammarby IF/BK,HAM,closed,0,3,5,9
2024-10-30T18:00:00+00:00,2,Sandvikens AIK,SAN,Aby/Tjureda IF,A/T,closed,2,6,2,2
2024-11-01T16:00:00+00:00,3,IK Sirius BK,SIR,Edsbyns IF,EDS,postponed,,,,
2024-11-01T18:00:00+00:00,3,Frillesaas BK,FRI,Vasteraas SK,VSK,closed,0,1,6,13
2024-11-01T18:00:00+00:00,3,Villa-Lidkoping BK,VIL,Bollnas GIF,BOL,closed,4,12,4,5
2024-11-01T18:00:00+00:00,3,Aby/Tjureda IF,A/T,Vetlanda BK,VBK,closed,2,5,3,4
2024-11-01T18:00:00+00:00,3,Hammarby IF/BK,HAM,Sandvikens AIK,SAN,closed,4,6,2,3
2024-11-01T19:00:00+00:00,3,Ljusdals BK,LJU,Broberg/Soderhamn BS,BRO,closed,1,2,1,6
2024-11-02T14:00:00+00:00,3,Gripen Trollhättan BK,GRT,IFK Vanersborg,VAN,closed,3,5,5,6
2024-11-05T18:00:00+00:00,4,Bollnas GIF,BOL,Hammarby IF/BK,HAM,closed,4,8,1,3
2024-11-05T18:00:00+00:00,4,Broberg/Soderhamn BS,BRO,Villa-Lidkoping BK,VIL,closed,3,5,3,6
2024-11-05T18:00:00+00:00,4,Edsbyns IF,EDS,Gripen Trollhättan BK,GRT,closed,6,7,2,4
2024-11-05T18:00:00+00:00,4,IFK Vanersborg,VAN,IK Sirius BK,SIR,closed,2,2,3,6
2024-11-05T18:00:00+00:00,4,Vetlanda BK,VBK,Ljusdals BK,LJU,closed,5,13,1,3
2024-11-06T18:00:00+00:00,4,Vasteraas SK,VSK,Aby/Tjureda IF,A/T,closed,4,7,0,2
2024-11-08T18:00:00+00:00,5,Broberg/Soderhamn BS,BRO,IFK Vanersborg,VAN,closed,1,7,4,5
2024-11-08T18:00:00+00:00,5,Gripen Trollhättan BK,GRT,Sandvikens AIK,SAN,closed,3,9,1,3
2024-11-08T18:00:00+00:00,5,Hammarby IF/BK,HAM,Frillesaas BK,FRI,closed,5,8,2,5
2024-11-08T18:00:00+00:00,5,IK Sirius BK,SIR,Vetlanda BK,VBK,closed,2,6,1,4
2024-11-08T18:00:00+00:00,5,Villa-Lidkoping BK,VIL,Vasteraas SK,VSK,closed,7,10,3,4
2024-11-08T18:00:00+00:00,5,Aby/Tjureda IF,A/T,Edsbyns IF,EDS,closed,0,3,4,9
2024-11-08T19:00:00+00:00,5,Ljusdals BK,LJU,Bollnas GIF,BOL,closed,1,2,4,6
2024-11-10T16:00:00+00:00,3,IK Sirius BK,SIR,Edsbyns IF,EDS,closed,3,5,2,5
2024-11-11T18:00:00+00:00,4,Sandvikens AIK,SAN,Frillesaas BK,FRI,closed,2,6,1,2
2024-11-12T18:00:00+00:00,6,Bollnas GIF,BOL,Aby/Tjureda IF,A/T,closed,2,6,1,3
2024-11-12T18:00:00+00:00,6,Frillesaas BK,FRI,Ljusdals BK,LJU,postponed,,,,
2024-11-12T18:00:00+00:00,6,IFK Vanersborg,VAN,Vetlanda BK,VBK,closed,1,5,5,9
2024-11-12T18:00:00+00:00,6,Vasteraas SK,VSK,IK Sirius BK,SIR,closed,4,10,2,3
2024-11-13T18:00:00+00:00,6,Edsbyns IF,EDS,Broberg/Soderhamn BS,BRO,closed,5,13,0,0
2024-11-13T18:00:00+00:00,6,Gripen Trollhättan BK,GRT,Hammarby IF/BK,HAM,closed,2,2,1,3
2024-11-13T18:00:00+00:00,6,Sandvikens AIK,SAN,Villa-Lidkoping BK,VIL,closed,0,4,3,7
2024-11-15T18:00:00+00:00,7,Broberg/Soderhamn BS,BRO,Bollnas GIF,BOL,closed,2,5,1,2
2024-11-15T18:00:00+00:00,7,Aby/Tjureda IF,A/T,IFK Vanersborg,VAN,closed,1,3,1,3
